Timestamp,What year are you in?,How would you rate yourself on a scale of 10 from 1 (introvert) to 10 (extrovert),How many texts do you send per day?,"Are you left-handed, right-handed or both?",What position do you sleep in?,How many hours of sleep do you get?,How many siblings do you have?,"What pets do you have? If more than one, separate with commas.",Make up a very random 4-digit number,Do you have a tattoo?,How do you get to work or school?
1/16/2024 15:14:27,First,4,20,Right,Stomach,7-8,1,0,2376,No,walk
1/16/2024 15:14:40,Second,3,5,Right,Back,6,1,cat,4635,No,walk
1/16/2024 15:15:23,Third,4,"15-30, depends",Right,Back,5-7,3,N/A,3790,No,Bike
1/16/2024 15:17:50,Third,5,0,Right,Back,6h,no,no,6117,No,Bus
1/16/2024 15:17:51,First,2,"Depends on the day, between 5-30.",Right,Stomach,"On average, 5.",3,0,6782,Yes,walk
1/16/2024 15:19:07,First,2,5-30,Right,Stomach,5,3,0,6782,Yes,walk
1/16/2024 15:22:39,First,5,,Right,Left side,6-7 :(,2 :D,I have two cats,5939,Yes,Bike
1/16/2024 15:23:32,First,2,70,Right,Right side,5,2,N/A,3276,No,Bus
1/16/2024 15:25:20,Third,6,20,Right,Right side,6-7,1,1,2323,Yes,Bike
1/16/2024 15:25:39,First,5,,Right,Left side,6-7 :(,Two,Two cats! :D,3216,Yes,Bike
1/16/2024 15:26:43,Second,3,30,Right,Left side,8,1,1,1025,Yes,walk
1/16/2024 15:28:24,First,6,2-5,Right,Right side,10,1,dog and cat,7251,Yes,Bike
1/16/2024 15:28:43,First,2,5,Right,Back,8,2,Jack Mackerel,7682,No,walk
1/16/2024 15:28:46,First,1,less than 5,Right,Left side,6-8,1,dog,1107,No,Bus
1/16/2024 15:29:26,First,6,,Right,,7,4,,4895,No,Bike
1/16/2024 15:29:56,Third,5,3,Right,Left side,6,1,1 cat,4444,Yes,Bike
1/16/2024 15:30:13,First,7,maybe close to 100,Right,Right side,8-9,3,"5 cats, 2 dogs ",1111,No,walk
1/16/2024 15:30:35,First,7,"not sure, maybe 50?",Right,Left side,6,1,"dog, cat, cat",1234,No,walk
1/16/2024 15:30:58,Second,6,15-20 ish probably ,Right,Right side,8,2,5 dogs ,5879,No,walk
1/16/2024 15:31:28,Second,6,30,Right,Stomach,7 ish,5,"two dogs, one cat",9361,No,walk
1/16/2024 15:32:15,Second,6,50,Right,Back,8,1,1,1614,No,Bike
1/16/2024 15:32:39,Second,4,160,Right,Stomach,8,1,Dog,0127,No,walk
1/16/2024 15:33:09,Second,1,5,Right,Right side,7,1,"cat, dog",3421,No,Bus
1/16/2024 15:33:31,Third,3,50,Right,Right side,8.5 h,1,0,2795,No,Bus
1/16/2024 15:33:46,First,3,20-40? Maybe ,Right,Right side,6-9 ,5,3 dogs ,5286,No,Bus
1/16/2024 15:34:01,First,3,10,Right,Right side,10,3,4 dogs,2739,No,walk
1/16/2024 15:34:22,Third,3,50,Right,Right side,8.5 h,1,0,2304,No,Bus
1/16/2024 15:34:47,First,1,10,Right,Left side,7,0,,0520,No,walk
1/16/2024 15:35:56,First,8,50,Right,Right side,8,2,2,4388,No,walk
1/16/2024 15:36:09,First,3,Not many(don’t really know),Right,Left side,7,5,3 dogs ,7928,No,walk
1/16/2024 15:36:35,First,5,20,Right,Back,9,2,1,0001,No,walk
1/16/2024 15:36:52,First,8,50,Right,Right side,8,2,1,4388,No,walk
1/16/2024 15:37:48,Third,6,100+ including Snapchat and Instagram DM,Both,Right side,9,0,Turtle,7379,No,Bike
1/16/2024 15:37:55,Third,5,above 20,Right,Left side,8,0,none,6417,No,scooter
1/16/2024 15:38:25,Second,7,20,Right,Left side,8-10,3,2 cats,3874,No,Bike
1/16/2024 15:38:31,Second,7,varies a lot,Right,Left side,7-8,1,Dog,4839,No,Bike
1/16/2024 15:38:52,First,7,over 100,Right,Right side,7,4,n/a,3831,No,Bike
1/16/2024 15:39:18,Second,8,,Right,Right side,7,2,1,4351,No,walk
1/16/2024 15:39:50,First,10,,Right,,,,,,No,walk
1/16/2024 15:39:52,Second,6,>100,Right,Right side,7,4,n/a,3182,No,Bike
1/16/2024 15:40:00,Second,8,,Right,Right side,7,2,1,4351,No,walk
1/16/2024 15:41:39,Second,7,20,Right,Left side,8-10,3,2 cats,4026,No,Bike
1/16/2024 15:41:45,Second,10,500,Both,Stomach,13,2,Snake,12345,Yes,Bus
1/16/2024 15:42:42,Third,5,20,Both,Stomach,6,2,"cat, cat",0376,Yes,Car
1/16/2024 15:44:26,First,3,5,Right,Back,8,2,,5555,No,walk
1/16/2024 15:46:37,Fourth+,5,100,Right,Left side,9,1,,3702,No,Phoenix
1/16/2024 16:11:26,Second,8,19,Right,Back,6-9,2,"busy (lab), hulk (retriever), ollie (fat king-charlesspaniel)",9293,No,Bike
1/16/2024 16:19:03,First,7,40,Right,Left side,7,1,none,9765,No,walk
1/16/2024 16:29:25,Second,7,20,Right,Left side,8,1,0,1738,No,Bike
1/16/2024 16:38:36,First,5,50,Right,Back,7,2,cat,4539,Yes,walk
1/16/2024 16:39:55,Fourth,2,15,Right,Right side,7,one,one dog,1088,No,Bike
1/16/2024 16:44:57,Fourth,6,100,Right,Left side,7,0,N/A,0102,No,Bus
1/16/2024 16:54:11,First,8,35,Right,Right side,7,2,I have two dogs ,4876,No,Bike
1/16/2024 17:05:32,First,5,30-40,Right,Right side,7 but 10 on a good day,1,1 dog,7941,No,walk
1/16/2024 17:06:10,Third,4,above 40,Right,Right side,8,0,none,7390,No,Bike
1/16/2024 17:08:18,Fourth,5,75,Right,Stomach,,2,,8769,No,walk
1/16/2024 17:09:12,First,5,2,Right,Right side,6,0,None,"9,8,66,69",No,Bus
1/16/2024 17:09:48,Second,3,10,Right,Right side,7,2,"Dogs, birds, and reptiles",2,Yes,Bike
1/16/2024 17:33:00,First,6,20+,Right,Stomach,7,1,no pets,0108,No,Bus
1/16/2024 17:33:37,First,1,Around 40,Right,Left side,7,2,Dog,2647,No,walk
1/16/2024 17:40:12,First,5,50,Right,Left side,9,1,1 pug,4532,Yes,walk
1/16/2024 17:48:27,Second,1,100+,Right,Right side,6,3,"Pitbull, American Bulldog, Husky",4849,No,Scooter
1/16/2024 17:51:34,Second,1,100+,Right,Right side,6,4,"Pitbull, American Bulldog, Husky",2397,No,Electrical scooter
1/16/2024 17:55:45,Third,3,20,Right,Left side,6,2,1,2143,No,walk
1/16/2024 18:06:25,Third,6,85,Right,Left side,7,2,Dog,7483,No,walk
1/16/2024 18:17:06,Third,9,50,Right,Stomach,8 hours,2,3 French Bulldogs,9068,Yes,Car
1/16/2024 18:31:44,First,3,10,Right,Right side,8,0,Cat,5243,No,walk
1/16/2024 18:59:04,First,8,around 10,Right,Left side,7ish,2,2 dogs,5940,No,walk
1/16/2024 19:03:58,First,7,50-100,Right,Left side,8,1,"dog,cat,bird,fish",2873,No,walk
1/16/2024 19:17:15,First,7,about 100,Right,Back,7,1,one dog,7672,No,walk
1/16/2024 19:18:45,First,7,about 100,Right,Back,7,1,one dog,6772,No,walk
1/16/2024 19:20:06,First,7,,Right,Left side,7,1,1,4926,No,walk
1/16/2024 19:23:08,First,7,30,Right,Right side,7,1,dogs,5608,No,Bike
1/16/2024 19:28:19,First,7,30,Right,Right side,7,1,Dogs,4598,No,Bike
1/16/2024 19:34:11,First,7,a lot ,Right,Stomach,8,4,2 dogs ,0320,No,Bus
1/16/2024 20:04:27,First,8,75,Right,Right side,8,1,dog,1805,No,Bike
1/16/2024 20:14:50,Third,5,20 or so. I typically correspond via email. ,Both,Back,7,1,Dog,1001,No,Car
1/16/2024 20:27:30,Third,5,30,Right,Back,7,0,n/a,2400,No,walk
1/16/2024 20:32:39,First,5,may be 20,Right,Right side,7 hours,2,no,9210,No,Bus
1/16/2024 20:33:49,Second,5,10,Right,Right side,7,2,none,2004,Yes,walk
1/16/2024 20:42:58,First,6,25,Left,Left side,9,2,"dog, dog",5467,No,Bike
1/16/2024 20:45:37,First,4,too many,Right,Stomach,6,1,3,0000,No,Bike
1/16/2024 20:46:50,First,4,no idea,Right,Stomach,6,1,3,0000,No,Bike
1/16/2024 20:51:25,Third,4,10 texts per day ,Both,Back,7,2,"Dog, and Cat ",1687,Yes,Bike
1/16/2024 21:19:19,Second,4,5,Right,Right side,7,1,0,5892,No,electric skateboard
1/16/2024 21:23:59,Fourth,6,100,Right,Left side,7,0,N/A,0102,No,Bus
1/16/2024 21:26:02,Fourth,6,100,Right,Left side,7,0,N/A,0102,No,Bus
1/16/2024 21:32:24,First,6,no more than 200 texts,Right,Back,6 hours,one,I have no pet.,5830,No,Bike
1/16/2024 21:50:26,Second,8,over 10 ,Right,Right side,7,1,two cats,1542,No,Car
1/16/2024 23:17:41,First,4,around 10-15,Right,Right side,6-7,0,3 dogs,1249,No,Bike
1/17/2024 0:28:49,Third,6,under 12,Right,Back,6-8 ,5,1 dog ,4101,No,Bike
1/17/2024 1:31:37,Third,4,10,Right,Right side,7,0,0,4329,No,walk
1/17/2024 8:57:54,First,2,30,Right,Left side,7,2,Dog,2849,No,walk
1/17/2024 9:10:21,First,6,20,Right,Right side,7,2,,3567,No,Bike
1/17/2024 9:10:39,First,3,10,Right,Back,6,1,Cat,0203,No,Bike
1/17/2024 9:43:06,Second,7,10,Right,Stomach,9,1,A dog,7777,No,walk
1/17/2024 9:43:56,Second,7,10,Right,Stomach,9,1,A dog,7777,No,walk
1/17/2024 9:53:25,Second,5,70+,Right,Stomach,8,3,0,2147,No,walk
1/17/2024 10:06:51,Second,5,55,Right,Right side,5,1,dog,1019,No,walk
1/17/2024 10:13:45,First,5,20,Right,Back,9,2,1,0001,No,Bike
1/17/2024 12:22:15,First,3,30～50,Right,Back,7-8,2,none,1126,No,Bike
1/17/2024 12:51:57,Fourth,2,15,Right,,7,one,dog,7563,No,Bike
1/17/2024 13:47:18,Fourth,7,150,Right,Back,,7,none,1505,No,walk
1/17/2024 13:51:01,First,6,2,Right,Right side,7,0,turtle,5678,No,Bus
1/17/2024 13:52:13,First,8,a lot,Right,Left side,7.5,1,N/a,5789,No,Bike
1/17/2024 14:28:56,First,3,0-10,Right,Back,6-8,1,2 dogs,3981,No,walk
1/17/2024 15:03:56,Fourth,1,5,Right,Left side,6,3,Bunny ,5555,No,Bus
1/17/2024 15:08:24,Third,9,30,Right,Right side,8,2,1 dog,8890,No,Bike
1/17/2024 15:10:12,First,5,~80,Right,Right side,8,1,1,8590,Yes,Bike
1/17/2024 15:12:50,First,5,~80,Right,Right side,8,1,1,9759,Yes,Bike
1/17/2024 15:55:33,Third,7,>50,Right,Right side,7-9,3,0,1337,No,Bike
1/17/2024 16:00:42,Fourth,4,a lot,Right,Right side,6-8,3,1 cat,2202,No,Bus
1/17/2024 16:01:49,Fourth,4,many to the same person,Right,Right side,6-8,3,1 cat,2202,No,Bus
1/17/2024 16:58:48,First,6,20,Right,Left side,8,2,Dog,5437,No,Bike
1/17/2024 16:59:25,Third,8,,Right,Left side,6,1,1,0316,Yes,walk
1/17/2024 18:20:01,First,4,0,Right,Right side,7,0,0,4321,No,walk
1/17/2024 18:29:59,Fourth,3,50,Right,Back,7h-9h,3,2 dogs,7302,No,walk
1/17/2024 18:45:00,First,3,,Right,Right side,8,2,None,0342,Yes,walk
1/17/2024 18:46:27,First,3,,Right,Right side,8,2,None,0342,Yes,walk
1/17/2024 22:00:19,First,6,Probably like 80,Right,Left side,7-8,1,dog,4374,No,Bike
1/17/2024 22:01:31,First,6,probably like 80,Right,Left side,7-8,1,dog,4374,No,Bike
1/17/2024 22:03:27,Third,3,50,Right,Right side,8.5 h,1,0,3467,No,Bus
1/18/2024 0:35:10,Third,1,1566,Both,,2,7,Tapeworm,3456,Yes,I get rides from your mother
1/18/2024 13:05:26,First,6,70,Right,Right side,8-9,1,dog,1404,No,Bike
1/18/2024 13:06:11,First,6,70,Right,Right side,8-9,1,dog,1404,No,Bike
1/18/2024 14:17:08,Third,1,40,Right,Left side,7,2,"dog,cat,cat",1287,No,Bike
1/18/2024 14:31:42,First,7,20-30,Right,Right side,6-8,1,0,8498,No,walk
1/18/2024 16:10:19,First,3,a lot,Right,Stomach,8+,5,none,3658,Yes,walk
1/18/2024 16:10:51,First,3,a lot,Right,Stomach,8+,5,none,3856,Yes,walk
1/18/2024 16:26:19,First,8,~300,Right,Left side,7-8,1,n/a,3953,No,Bike
1/18/2024 18:03:13,First,7,80+,Right,Right side,6,1,1,7383,No,walk
1/18/2024 21:36:54,Third,5,15,Right,Stomach,9,1,"cat, gecko, millipede",5876,Yes,Bus
1/19/2024 14:08:56,Fourth,1,5,Right,Left side,6,3,bunny,5555,No,Bus
1/19/2024 15:53:57,Fourth,9,100,Right,Right side,7,1,none,3642,No,Bike
1/19/2024 21:51:19,Fourth,7,100,Right,Right side,7-8,3,1,3452,Yes,Bus
1/19/2024 22:03:37,First,3,4,Right,Right side,7,0,0,3214,No,walk
1/19/2024 22:38:40,First,5,4,Right,Right side,8,2,0,6249,No,walk
1/19/2024 22:39:21,First,6,4,Right,Left side,8,2,0,0392,No,walk
1/21/2024 22:06:12,First,6,30,Right,Back,8,1,German Shepard,3024,No,Bike
1/23/2024 15:32:43,First,2,100+,Right,Back,7,1,none,8743,No,walk
1/24/2024 10:13:32,First,7,5,Right,Right side,7,1,none,1546,No,Car
1/24/2024 10:14:33,First,7,5,Right,Left side,7,1,none,1546,No,Car
1/24/2024 17:04:51,First,5,100-400,Right,Left side,8,5,"Kibbles, Jasper, Cosmo",5829,No,Bike
1/24/2024 17:05:06,,,,,,,,,,,